Created          DealCid                                                      DealId   Provider  State                             On Chain?         Slashed?          PieceCID                                                          Size       Price                     Duration  Verified  Message
Sep 18 07:23:19  bafyreiez55jkbfyqiri3w4lhdvd2qjd3yugb65hj6um2wb57ntebcggfpa  146943   f016594   StorageDealActive                 Y (epoch 71438)   N                 baga6ea4seaqeeovtjs4nmpr5eymlbyfth6e7fh7spaqaev5p26ynxqiyh5exkfy  7.938 MiB  0.000075189 FIL           601512    false     
Sep 18 07:24:20  bafyreie34febg5j46vxpkqox7k3hodx5z4sj7wrm2hjjkuzuqjy6ikh2su  146945   f020385   StorageDealActive                 Y (epoch 72408)   N                 baga6ea4seaqjrt5yaftvidauaszznfe5nczlqwzhumz3un3oanr7msdscmodwga  7.938 MiB  0.000075293 FIL           602344    false     
Sep 18 07:42:09  bafyreickh5n6vpl3rhdrlcysclvpktn7hv5apq2ald3elnmrjswbndjniy  146966   f016594   StorageDealActive                 Y (epoch 71772)   N                 baga6ea4seaqfyaiksagnhvblminx3ki233txcn75pkwpy2rcavwuhs4t3njleha  7.938 MiB  0.00007518425 FIL         601474    false     
Sep 18 07:43:09  bafyreieuifotphkpkbmuuu6nage7qqlynslmkaacyt6e2rdqecca24cpvq  146968   f020385   StorageDealActive                 Y (epoch 72408)   N                 baga6ea4seaqbcqh3t24po5ch7aazd7me3bhtnpwmqa5eus3ctioy6tu7bvkg6eq  7.938 MiB  0.00007528825 FIL         602306    false     
Sep 18 08:01:43  bafyreibd3qa2vy763bfdk7fhh4foubm6mwzrs2cwt3zge4osdivdex3zde  146987   f020385   StorageDealActive                 Y (epoch 72408)   N                 baga6ea4seaqolrgvvvbfwawquubxvdeaybj3lpbzt5kbsqifipxbbgbwma62weq  7.938 MiB  0.000075283625 FIL        602269    false     
Sep 18 08:02:59  bafyreihcz3zxfp36cv6mloe7jjol7hk6c574djfjp7ens4dwz7lcavapzi  146992   f020489   StorageDealActive                 Y (epoch 72903)   N                 baga6ea4seaqfx6x2tfh6o733zcxnidorj5uon2ung66fg46m7jcg7bk4ynp3mpq  7.938 MiB  0.0000754015 FIL          603212    false     
Sep 18 08:19:43  bafyreifiyi5arxqks3hg3kz6eeyzhfxns75mezgcsajhfqqhb5hve4b2rm  147008   f016594   StorageDealActive                 Y (epoch 71610)   N                 baga6ea4seaqnuprxc56ifw5y44pvw7izksxiblmdunrsqklptliihrxbc7a5efi  7.938 MiB  0.000075174875 FIL        601399    false     
Sep 18 08:20:59  bafyreidx56rkxeqiztzjtincc3rzkpvs3fu326kwhnjr4tmthuarhlwbka  147010   f020385   StorageDealActive                 Y (epoch 72408)   N                 baga6ea4seaqdqgtelydkz23hslv53cpsys76bly7baery3ghi3ctj4jizbmveaq  7.938 MiB  0.000075278875 FIL        602231    false     
Sep 18 08:22:00  bafyreiaju62oovmhusdyotwhvebws3lald7ds635luqxs3zv666yyclp7u  147015   f020489   StorageDealActive                 Y (epoch 72903)   N                 baga6ea4seaqdq3juagzybhhbluao7u7niqpv5rsuqa6m7z77ztprzshl3tysili  7.938 MiB  0.00007539675 FIL         603174    false     
Sep 18 08:40:27  bafyreibfxckpjvhuc64mv4o5mdb7tbazbhm4p5vxldnj4url2a4leqbwte  147031   f016594   StorageDealActive                 Y (epoch 71687)   N                 baga6ea4seaqofrlrtum2oezv7h5x7x6fm44dcs5o7436tazicoprgsxnkl6hgcq  7.938 MiB  0.00007516975 FIL         601358    false     
