Created          DealCid                                                      DealId  Provider  State                          On Chain?        Slashed?  PieceCID                                                          Size       Price               Duration  Message
Sep  1 23:20:19  bafyreihm5y5ipky3ze7hdeafk64ty5xnp7qv64vm7citeuxuqjterflnau  0       t015760   StorageDealError               N                N         baga6ea4seaqjne747jlf2uclquxi3ps7ltdsy2tvoap4vgrmg5sgamu77fi7yki  7.938 MiB  0.000075337375 FIL  602699    unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: clientMarketBalance.Available too small
Sep  1 23:20:25  bafyreia74cezkzrgcznwajd5oy4p2i7yndjmgjvbaffknpcmm6aezpr4fi  0       t03345    StorageDealTransferring        N                N         baga6ea4seaqpwufahnpywowrdjhcy4r3bynp6kknkfkhsqygzoggfnss3ictyaa  7.938 MiB  0.00007532775 FIL   602622    
Sep  1 23:20:29  bafyreigla56utobs2jptwag52gxucfvbghzjpfu2jhlpbg7p6ntve2vuaq  0       t016228   StorageDealCheckForAcceptance  N                N         baga6ea4seaqc5i7bzwpicfysmph4ewp5pf4txsqrvrgwmq3idt2txrmkgcxpsbi  7.938 MiB  0.000075257625 FIL  602061    
Sep  1 23:20:42  bafyreihdcgcpaktwgmcdy3bo4bm3ojyesbzbnygzw26qi725r3fh4q453m  0       t08432    StorageDealTransferring        N                N         baga6ea4seaqiqy66h66l52neob26pwvukfkz346b36v23mpcdbafokz4225zeia  7.938 MiB  0.0000754195 FIL    603356    
Sep  1 23:20:46  bafyreifmeifcsgi4x7d7ud4o3pqcqzv3kstdwopobmnmbey5tsldfiimzu  62243   t03328    StorageDealSealing             N                N         baga6ea4seaqet3cglbgw7zv7ymomfmlo7ubnspo2h46vikrznic6q4vofujacoy  7.938 MiB  0.00007528075 FIL   602246    
Sep  1 23:20:52  bafyreig7wwfdspv6lqdvlwzab4tpshtjeilx2jmb4sqsfcigk6gbhfygey  0       t016203   StorageDealTransferring        N                N         baga6ea4seaqa3mj7tkzwumdjor7l7fzfltmnx4lpr7atiial32drupuczkx72ga  7.938 MiB  0.000075217 FIL     601736    
Sep  1 23:20:55  bafyreidmdnh2qpeqnjheq7z6ktvdgothojefwnmqpz3vwlmb36knlh2zxm  0       t07806    StorageDealTransferring        N                N         baga6ea4seaqe7ecfmahc72onz5ltictnrurj4wpg6imi32htf4hxvzx2wjniqgi  7.938 MiB  0.0000753535 FIL    602828    
Sep  1 23:20:57  bafyreigopqtncc5vheebn6nyntzlnatgaykc7yiq64pqedmbbntvzpxot4  62245   t02613    StorageDealSealing             N                N         baga6ea4seaqngnwi5364iblsvxltj4upc2suw74xb2ufxbi623h7uxajkmw74ea  7.938 MiB  0.00007527175 FIL   602174    
Sep  1 23:21:05  bafyreieqyyhlfiz7jx5idqt4z7yohdqctuo3t2wzylfy7tca763vmxfbhi  62227   t08482    StorageDealSealing             N                N         baga6ea4seaqph6o7jzayt6xxezuczqr7e3zzneqlktpja2ggcsyyev4fwcafshy  7.938 MiB  0.00007543 FIL      603440    
Sep  1 23:21:08  bafyreielfcj5bhicur377eyob7jb7rs54geg4mr6vmpcqxwdryo2dy4bgy  0       t015891   StorageDealError               N                N         baga6ea4seaqponifa5ngyovdxmaznlndq4xl5esvd2ki6igjml5gs4sn44rdyei  7.938 MiB  0.000075315375 FIL  602523    unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: clientMarketBalance.Available too small
