wiki.zip.aa
t01945-2342 t01581-2359 t01699-2367 t02014-2391
Retrieving t01945 2342 bafykbzaceantezfhi5gfy22imlfbb4gofn75vnu2lo3bzje4fddiyrph2d5ls
> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 29.01 MiB, Paid 0.000000000058746484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 30.01 MiB, Paid 0.000000000058746484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 31.01 MiB, Paid 0.000000000058746484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 32.01 MiB, Paid 0.000000000058746484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 33.01 MiB, Paid 0.000000000058746484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 34.01 MiB, Paid 0.000000000058746484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 35.01 MiB, Paid 0.000000000058746484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 35.01 MiB, Paid 0.000000000058746484 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 36.01 MiB, Paid 0.000000000058746484 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 36.01 MiB, Paid 0.000000000058746484 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 36.01 MiB, Paid 0.0000000000755237 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 37.01 MiB, Paid 0.0000000000755237 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 38.01 MiB, Paid 0.0000000000755237 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 39.01 MiB, Paid 0.0000000000755237 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 40.01 MiB, Paid 0.0000000000755237 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 41.01 MiB, Paid 0.0000000000755237 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 42.01 MiB, Paid 0.0000000000755237 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 43.01 MiB, Paid 0.0000000000755237 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 44.01 MiB, Paid 0.0000000000755237 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 44.01 MiB, Paid 0.0000000000755237 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 45.01 MiB, Paid 0.0000000000755237 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 45.01 MiB, Paid 0.0000000000755237 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 45.01 MiB, Paid 0.000000000094398068 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 46.01 MiB, Paid 0.000000000094398068 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 47.01 MiB, Paid 0.000000000094398068 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 48.01 MiB, Paid 0.000000000094398068 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 49.01 MiB, Paid 0.000000000094398068 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 50.01 MiB, Paid 0.000000000094398068 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 51.01 MiB, Paid 0.000000000094398068 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 52.01 MiB, Paid 0.000000000094398068 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 53.01 MiB, Paid 0.000000000094398068 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 54.01 MiB, Paid 0.000000000094398068 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 54.01 MiB, Paid 0.000000000094398068 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 55.01 MiB, Paid 0.000000000094398068 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 55.01 MiB, Paid 0.000000000094398068 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 55.01 MiB, Paid 0.000000000115369588 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 56.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 57.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 58.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 59.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 60.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 61.01 MiB, Paid 0.000000000115369588 FIL, ClientEventBlocksReceived (DealStatusOngoing)
