> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 32 MiB, Paid 0.000000000058723812 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 33 MiB, Paid 0.000000000058723812 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 33 MiB, Paid 0.000000000058723812 FIL, ClientEventLastPaymentRequested (DealStatusFundsNeededLastPayment)
> Recv: 33.96 MiB, Paid 0.000000000058723812 FIL, ClientEventBlocksReceived (DealStatusFundsNeededLastPayment)
> Recv: 33.96 MiB, Paid 0.000000000058723812 FIL, ClientEventAllBlocksReceived (DealStatusSendFundsLastPayment)
> Recv: 33.96 MiB, Paid 0.000000000071222676 FIL, ClientEventPaymentSent (DealStatusFinalizing)
> Recv: 33.96 MiB, Paid 0.000000000071222676 FIL, ClientEventComplete (DealStatusCompleted)
Success
0.04user 0.03system 4:50.11elapsed 0%CPU (0avgtext+0avgdata 38472maxresident)k
8inputs+0outputs (1major+3810minor)pagefaults 0swaps
