> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 0 B, Paid 0 FIL, ClientEventDealProposed (DealStatusWaitForAcceptance)
> Recv: 0 B, Paid 0 FIL, ClientEventDealAccepted (DealStatusAccepted)
> Recv: 0 B, Paid 0 FIL, ClientEventPaymentChannelAddingFunds (DealStatusPaymentChannelAllocatingLane)
> Recv: 0 B, Paid 0 FIL, ClientEventLaneAllocated (DealStatusOngoing)
> Recv: 1.502 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.308 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 258.3 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 514.3 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 514.3 KiB, Paid 0 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 770.3 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 1.002 MiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 1.002 MiB, Paid 0 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 1.002 MiB, Paid 0.00000000000210199 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 1.252 MiB, Paid 0.00000000000210199 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 1.502 MiB, Paid 0.00000000000210199 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 1.752 MiB, Paid 0.00000000000210199 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.002 MiB, Paid 0.00000000000210199 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.252 MiB, Paid 0.00000000000210199 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.502 MiB, Paid 0.00000000000210199 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.502 MiB, Paid 0.00000000000210199 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 2.752 MiB, Paid 0.00000000000210199 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 3.002 MiB, Paid 0.00000000000210199 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 3.002 MiB, Paid 0.00000000000210199 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 3.002 MiB, Paid 0.000000000006296518 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 3.252 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 3.502 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 3.752 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.002 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.047 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.048 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.298 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.548 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.798 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.798 MiB, Paid 0.000000000006296518 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 5.048 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 5.298 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 5.548 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 5.798 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 6.048 MiB, Paid 0.000000000006296518 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 6.048 MiB, Paid 0.000000000006296518 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 6.048 MiB, Paid 0.000000000006296518 FIL, ClientEventVoucherShortfall (DealStatusCheckFunds)
> Recv: 6.048 MiB, Paid 0.000000000006296518 FIL, ClientEventPaymentChannelAddingFunds (DealStatusPaymentChannelAddingFunds)
> Recv: 6.048 MiB, Paid 0.000000000006296518 FIL, ClientEventPaymentChannelReady (DealStatusOngoing)
> Recv: 6.048 MiB, Paid 0.000000000006296518 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 6.048 MiB, Paid 0.000000000006296518 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 6.048 MiB, Paid 0.000000000012683972 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 6.298 MiB, Paid 0.000000000012683972 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 6.548 MiB, Paid 0.000000000012683972 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 6.798 MiB, Paid 0.000000000012683972 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 7.048 MiB, Paid 0.000000000012683972 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 7.298 MiB, Paid 0.000000000012683972 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 7.548 MiB, Paid 0.000000000012683972 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 7.798 MiB, Paid 0.000000000012683972 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 8.048 MiB, Paid 0.000000000012683972 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 8.298 MiB, Paid 0.000000000012683972 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 8.548 MiB, Paid 0.000000000012683972 FIL, ClientEventBlocksReceived (DealStatusOngoing)
