> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 0 B, Paid 0 FIL, ClientEventDealProposed (DealStatusWaitForAcceptance)
> Recv: 0 B, Paid 0 FIL, ClientEventDealAccepted (DealStatusAccepted)
> Recv: 0 B, Paid 0 FIL, ClientEventPaymentChannelAddingFunds (DealStatusPaymentChannelAllocatingLane)
> Recv: 0 B, Paid 0 FIL, ClientEventLaneAllocated (DealStatusOngoing)
> Recv: 2.077 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 3.023 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 259 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 515.1 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 771.1 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 771.1 KiB, Paid 0 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 1.003 MiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 1.003 MiB, Paid 0 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 1.003 MiB, Paid 0.000000000002103456 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 1.253 MiB, Paid 0.000000000002103456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 1.503 MiB, Paid 0.000000000002103456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 1.753 MiB, Paid 0.000000000002103456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.003 MiB, Paid 0.000000000002103456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.253 MiB, Paid 0.000000000002103456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.503 MiB, Paid 0.000000000002103456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.753 MiB, Paid 0.000000000002103456 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 2.753 MiB, Paid 0.000000000002103456 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 3.003 MiB, Paid 0.000000000002103456 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 3.003 MiB, Paid 0.000000000002103456 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 3.003 MiB, Paid 0.000000000006297984 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 3.253 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 3.503 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 3.753 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.003 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.253 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.503 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.753 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.772 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 4.773 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 5.023 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 5.273 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 5.523 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 5.773 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 5.773 MiB, Paid 0.000000000006297984 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 6.023 MiB, Paid 0.000000000006297984 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 6.023 MiB, Paid 0.000000000006297984 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 6.023 MiB, Paid 0.00000000001263027 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 6.273 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 6.523 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 6.773 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 7.023 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 7.273 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 7.523 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 7.773 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 8.023 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 8.273 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 8.523 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 8.773 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.023 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.273 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.523 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.541 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 9.542 MiB, Paid 0.00000000001263027 FIL, ClientEventBlocksReceived (DealStatusOngoing)
