> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 0 B, Paid 0 FIL, ClientEventDealProposed (DealStatusWaitForAcceptance)
> Recv: 0 B, Paid 0 FIL, ClientEventDealAccepted (DealStatusAccepted)
> Recv: 2.077 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusAccepted)
> Recv: 3.023 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusAccepted)
> Recv: 259 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusAccepted)
> Recv: 515.1 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusAccepted)
> Recv: 771.1 KiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusAccepted)
> Recv: 771.1 KiB, Paid 0 FIL, ClientEventPaymentRequested (DealStatusAccepted)
> Recv: 1.003 MiB, Paid 0 FIL, ClientEventBlocksReceived (DealStatusAccepted)
> Recv: 1.003 MiB, Paid 0 FIL, ClientEventPaymentChannelCreateInitiated (DealStatusPaymentChannelCreating)
